Event,Fighter 1,KD F_1,Sig. str. landed F_1,Sig. str. thrown F_1,Sig. str. % F_1,Total str. landed F_1,Total str. thrown F_1,Td completed F_1,Td attempted F_1,Td % F_1,Sub. att F_1,Rev. F_1,Ctrl F_1,Head landed F_1,Head thrown F_1,Body landed F_1,Body thrown F_1,Leg landed F_1,Leg thrown F_1,Distance landed F_1,Distance thrown F_1,Clinch landed F_1,Clinch thrown F_1,Ground landed F_1,Ground thrown F_1,Fighter 2,KD F_2,Sig. str. landed F_2,Sig. str. thrown F_2,Sig. str. % F_2,Total str. landed F_2,Total str. thrown F_2,Td completed F_2,Td attempted F_2,Td % F_2,Sub. att F_2,Rev. F_2,Ctrl F_2,Head landed F_2,Head thrown F_2,Body landed F_2,Body thrown F_2,Leg landed F_2,Leg thrown F_2,Distance landed F_2,Distance thrown F_2,Clinch landed F_2,Clinch thrown F_2,Ground landed F_2,Ground thrown F_2
UFC Fight Night: Shogun vs Henderson 2,Francimar Barroso,0,36,67,0.53,76,114,3,8,0.37,0,0,181.0,11,35,13,18,12,14,21,44,9,13,6,10,Hans Stringer,0,44,77,0.57,98,135,1,8,0.12,0,0,352.0,21,51,5,7,18,19,20,48,16,17,8,12
UFC 201: Lawler vs. Woodley,Rose Namajunas,0,70,145,0.48,74,149,2,6,0.33,0,0,146.0,52,123,10,13,8,9,50,116,16,25,4,4,Karolina Kowalkiewicz,0,84,242,0.34,128,293,0,0,,0,0,138.0,44,185,29,38,11,19,36,174,41,56,7,12
UFC on FOX: Henderson vs Thomson,Ramiro Hernandez,0,40,144,0.27,40,144,0,0,,0,0,0.0,34,135,4,7,2,2,40,142,0,2,0,0,Hugo Viana,1,79,234,0.33,79,234,0,0,,0,0,4.0,56,197,19,32,4,5,78,229,1,3,0,2
UFC Fight Night: Swanson vs. Lobov,Alexis Davis,0,51,123,0.41,115,192,0,0,,2,1,162.0,21,88,17,21,13,14,35,104,9,9,7,10,Cindy Dandois,0,47,146,0.32,100,212,5,9,0.55,0,0,398.0,34,125,6,8,7,13,28,114,8,18,11,14
UFC Fight Night: Sanchez vs Riggs,Josh Koscheck,0,14,44,0.31,48,80,6,12,0.5,1,0,556.0,12,42,1,1,1,1,3,20,0,0,11,24,Jeff Joslin,0,18,54,0.33,83,119,0,0,,1,0,0.0,8,43,1,2,9,9,18,54,0,0,0,0
UFC 217: Bisping vs. St-Pierre,Aleksei Oleinik,0,34,68,0.5,41,75,0,0,,0,0,15.0,22,53,5,7,7,8,27,57,7,11,0,0,Curtis Blaydes,1,39,101,0.38,50,112,4,4,1.0,0,0,113.0,33,95,2,2,4,4,24,85,11,11,4,5
UFC 100,Brock Lesnar,0,47,51,0.92,74,80,1,1,1.0,0,0,346.0,41,45,4,4,2,2,3,5,0,0,44,46,Frank Mir,0,4,12,0.33,4,12,0,0,,0,0,0.0,2,10,1,1,1,1,1,8,3,4,0,0
UFC Fight Night: Maia vs Shields,Fabio Maldonado,0,87,168,0.51,121,204,0,0,,1,0,37.0,61,133,25,34,1,1,58,130,29,38,0,0,Joey Beltran,0,57,200,0.28,86,234,1,4,0.25,0,0,366.0,37,167,18,30,2,3,21,141,33,55,3,4
The Ultimate Fighter: Team Rampage vs Team Forrest Finale,Drew McFedries,1,19,32,0.59,22,35,1,1,1.0,0,0,5.0,15,27,3,3,1,2,3,8,15,23,1,1,Marvin Eastman,0,3,6,0.5,7,10,1,3,0.33,0,0,12.0,3,6,0,0,0,0,0,1,3,5,0,0
UFC 2: No Way Out,Remco Pardoel,0,4,6,0.66,20,22,1,1,1.0,1,0,,4,5,0,0,0,1,0,1,0,0,4,5,Alberta Cerra Leon,0,1,3,0.33,9,11,0,0,,0,0,,1,3,0,0,0,0,1,1,0,0,0,2
UFC on FOX: Johnson vs Moraga,Ed Herman,0,73,129,0.56,127,187,2,5,0.4,1,0,198.0,46,99,27,30,0,0,41,94,32,35,0,0,Trevor Smith,0,87,108,0.8,112,136,1,5,0.2,1,0,200.0,37,56,26,27,24,25,56,74,31,34,0,0
The Ultimate Fighter: Live Finale,Max Holloway,1,118,267,0.44,119,268,0,0,,0,0,56.0,86,224,30,41,2,2,105,247,8,13,5,7,Pat Schilling,0,27,108,0.25,27,108,0,17,0.0,0,0,60.0,19,95,5,10,3,3,27,107,0,1,0,0
UFC Fight Night: Munhoz vs. Edgar,Pedro Munhoz,0,166,350,0.47,166,350,0,0,,0,0,0.0,98,259,24,39,44,52,166,350,0,0,0,0,Frankie Edgar,0,135,363,0.37,135,363,2,8,0.25,0,0,18.0,105,309,23,46,7,8,134,361,1,2,0,0
UFC Fight Night: Saffiedine vs Lim,Mairbek Taisumov,0,33,87,0.37,48,107,5,7,0.71,0,0,229.0,10,52,10,19,13,16,22,67,7,13,4,7,Tae Hyun Bang,0,26,66,0.39,31,71,0,1,0.0,0,0,8.0,19,56,4,6,3,4,20,57,2,5,4,4
UFC 106: Ortiz vs Griffin 2,Ben Saunders,0,22,39,0.56,31,50,0,2,0.0,0,0,54.0,9,24,12,14,1,1,4,14,17,24,1,1,Marcus Davis,0,8,24,0.33,16,32,0,2,0.0,0,0,67.0,3,19,2,2,3,3,3,17,5,7,0,0
