W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,Event
win,Carmelo Marrero  Cheick Kongo,0  0,16  18,6  0,0  2,Heavyweight,S-DEC,3.0,5:00,"UFC 64: Unstoppable  October 14, 2006"
win,Spencer Fisher  Dan Lauzon,1  0,13  8,0  2,0  0,Lightweight,KO/TKO  Punches,1.0,4:38,"UFC 64: Unstoppable  October 14, 2006"
win,Yushin Okami  Kalib Starnes,0  0,39  19,3  0,1  1,Middleweight,KO/TKO  Punches,3.0,1:40,"UFC 64: Unstoppable  October 14, 2006"
win,Clay Guida  Justin James,0  0,26  13,2  0,2  1,Lightweight,SUB  Rear Naked Choke,2.0,4:42,"UFC 64: Unstoppable  October 14, 2006"
win,Kurt Pellegrino  Junior Assuncao,0  0,5  1,1  0,1  0,Lightweight,SUB  Rear Naked Choke,1.0,2:04,"UFC 64: Unstoppable  October 14, 2006"
win,Tito Ortiz  Ken Shamrock,0  0,18  0,1  0,0  0,Light Heavyweight,KO/TKO  Punches,1.0,2:23,"Ortiz vs Shamrock 3: The Final Chapter  October 10, 2006"
win,Kendall Grove  Chris Price,0  0,13  5,1  0,1  0,Middleweight,KO/TKO  Elbows,1.0,3:59,"Ortiz vs Shamrock 3: The Final Chapter  October 10, 2006"
win,Jason MacDonald  Ed Herman,0  0,5  2,0  1,2  0,Middleweight,SUB  Triangle Choke,1.0,2:43,"Ortiz vs Shamrock 3: The Final Chapter  October 10, 2006"
win,Matt Hamill  Seth Petruzelli,0  1,14  25,7  0,0  1,Light Heavyweight,U-DEC,3.0,5:00,"Ortiz vs Shamrock 3: The Final Chapter  October 10, 2006"
win,Nate Marquardt  Crafton Wallace,0  0,13  4,2  0,2  0,Middleweight,SUB  Rear Naked Choke,2.0,1:14,"Ortiz vs Shamrock 3: The Final Chapter  October 10, 2006"
win,Tony DeSouza  Dustin Hazelett,0  0,5  1,1  0,1  1,Welterweight,SUB  Kimura,1.0,3:59,"Ortiz vs Shamrock 3: The Final Chapter  October 10, 2006"
win,Rory Singer  Josh Haynes,0  1,50  23,0  1,0  0,Middleweight,U-DEC,3.0,5:00,"Ortiz vs Shamrock 3: The Final Chapter  October 10, 2006"
win,Thiago Alves  John Alessio,0  0,63  13,0  2,0  0,Welterweight,U-DEC,3.0,5:00,"Ortiz vs Shamrock 3: The Final Chapter  October 10, 2006"
win,Marcus Davis  Forrest Petz,0  0,33  5,0  0,1  0,Welterweight,SUB  Guillotine Choke,1.0,4:58,"Ortiz vs Shamrock 3: The Final Chapter  October 10, 2006"
win,Matt Hughes  BJ Penn,0  0,35  17,1  0,0  2,Welterweight,KO/TKO  Punches,3.0,3:53,"UFC 63: Hughes vs Penn  September 23, 2006"
win,Mike Swick  David Loiseau,0  0,32  36,3  1,0  0,Middleweight,U-DEC,3.0,5:00,"UFC 63: Hughes vs Penn  September 23, 2006"
win,Melvin Guillard  Gabe Ruediger,2  0,20  7,3  2,0  0,Lightweight,KO/TKO  Punch,2.0,1:01,"UFC 63: Hughes vs Penn  September 23, 2006"
win,Rashad Evans  Jason Lambert,0  0,25  6,8  0,0  3,Light Heavyweight,KO/TKO  Punches,2.0,2:22,"UFC 63: Hughes vs Penn  September 23, 2006"
win,Joe Lauzon  Jens Pulver,1  0,9  0,1  0,0  0,Lightweight,KO/TKO  Punch,1.0,0:48,"UFC 63: Hughes vs Penn  September 23, 2006"
win,Roger Huerta  Jason Dent,0  0,71  38,6  0,0  3,Lightweight,U-DEC,3.0,5:00,"UFC 63: Hughes vs Penn  September 23, 2006"
win,Eddie Sanchez  Mario Neto,1  0,10  10,0  1,0  0,Heavyweight,KO/TKO  Punch,2.0,0:17,"UFC 63: Hughes vs Penn  September 23, 2006"
win,Jorge Gurgel  Danny Abbadi,0  0,58  56,1  0,1  0,Lightweight,S-DEC,3.0,5:00,"UFC 63: Hughes vs Penn  September 23, 2006"
win,Tyson Griffin  David Lee,0  0,0  1,1  0,1  0,Lightweight,SUB  Rear Naked Choke,1.0,1:50,"UFC 63: Hughes vs Penn  September 23, 2006"
win,Chuck Liddell  Renato Sobral,2  0,17  1,0  0,0  0,Light Heavyweight,KO/TKO  Punches,1.0,1:35,"UFC 62: Liddell vs Sobral  August 26, 2006"
win,Forrest Griffin  Stephan Bonnar,0  0,83  41,0  0,0  0,Light Heavyweight,U-DEC,3.0,5:00,"UFC 62: Liddell vs Sobral  August 26, 2006"
win,Nick Diaz  Josh Neer,0  0,75  25,3  0,1  0,Welterweight,SUB  Kimura,3.0,1:42,"UFC 62: Liddell vs Sobral  August 26, 2006"
win,Cheick Kongo  Christian Wellisch,1  0,17  0,0  1,0  1,Heavyweight,KO/TKO  Knee,1.0,2:51,"UFC 62: Liddell vs Sobral  August 26, 2006"
win,Hermes Franca  Jamie Varner,0  0,22  18,1  9,3  0,Lightweight,SUB  Armbar,3.0,3:31,"UFC 62: Liddell vs Sobral  August 26, 2006"
win,Eric Schafer  Rob MacDonald,0  0,7  2,0  0,2  0,Light Heavyweight,SUB  Arm Triangle,1.0,2:26,"UFC 62: Liddell vs Sobral  August 26, 2006"
win,Wilson Gouveia  Wes Combs,0  0,9  10,1  0,1  0,Light Heavyweight,SUB  Rear Naked Choke,1.0,3:23,"UFC 62: Liddell vs Sobral  August 26, 2006"
win,David Heath  Cory Walmsley,0  0,3  2,1  0,3  0,Light Heavyweight,SUB  Rear Naked Choke,1.0,2:32,"UFC 62: Liddell vs Sobral  August 26, 2006"
win,Yushin Okami  Alan Belcher,0  0,12  8,5  0,0  0,Middleweight,U-DEC,3.0,5:00,"UFC 62: Liddell vs Sobral  August 26, 2006"
win,Diego Sanchez  Karo Parisyan,0  0,66  36,3  9,1  0,Welterweight,U-DEC,3.0,5:00,"UFC Fight Night 6  August 17, 2006"
win,Chris Leben  Jorge Santiago,1  0,9  6,1  1,0  0,Middleweight,KO/TKO  Punches,2.0,0:35,"UFC Fight Night 6  August 17, 2006"
win,Dean Lister  Yuki Sasaki,0  0,24  26,5  0,2  0,Middleweight,U-DEC,3.0,5:00,"UFC Fight Night 6  August 17, 2006"
win,Josh Koscheck  Jonathan Goulet,1  0,23  1,1  0,1  0,Welterweight,KO/TKO  Punches,1.0,4:10,"UFC Fight Night 6  August 17, 2006"
win,Martin Kampmann  Crafton Wallace,0  0,19  1,1  0,1  0,Middleweight,SUB  Rear Naked Choke,1.0,2:59,"UFC Fight Night 6  August 17, 2006"
win,Joe Riggs  Jason Von Flue,0  0,1  0,1  0,1  0,Welterweight,SUB  Triangle Choke,1.0,2:01,"UFC Fight Night 6  August 17, 2006"
win,Jake O'Brien  Kristof Midoux,0  0,25  2,3  0,0  0,Heavyweight,KO/TKO  Punches,2.0,0:52,"UFC Fight Night 6  August 17, 2006"
win,Forrest Petz  Sammy Morgan,5  0,45  8,6  0,0  1,Welterweight,U-DEC,3.0,5:00,"UFC Fight Night 6  August 17, 2006"
win,Anthony Torres  Pat Healy,0  0,11  13,0  0,1  0,Welterweight,SUB  Rear Naked Choke,1.0,2:37,"UFC Fight Night 6  August 17, 2006"
win,Tim Sylvia  Andrei Arlovski,0  0,97  66,0  0,0  0,Heavyweight,U-DEC,5.0,5:00,"UFC 61: Bitter Rivals  July 08, 2006"
win,Joshua Burkman  Josh Neer,1  0,35  19,4  1,0  1,Welterweight,U-DEC,3.0,5:00,"UFC 61: Bitter Rivals  July 08, 2006"
win,Tito Ortiz  Ken Shamrock,0  0,11  0,1  0,0  0,Light Heavyweight,KO/TKO  Elbows,1.0,1:18,"UFC 61: Bitter Rivals  July 08, 2006"
win,Frank Mir  Dan Christison,0  0,53  48,3  0,0  1,Heavyweight,U-DEC,3.0,5:00,"UFC 61: Bitter Rivals  July 08, 2006"
win,Joe Stevenson  Yves Edwards,0  1,28  18,3  0,1  2,Lightweight,KO/TKO,2.0,5:00,"UFC 61: Bitter Rivals  July 08, 2006"
win,Hermes Franca  Joe Jordan,0  0,46  20,3  0,1  0,Catch Weight,SUB  Triangle Choke,3.0,0:47,"UFC 61: Bitter Rivals  July 08, 2006"
win,Jeff Monson  Anthony Perosh,1  0,18  8,0  0,0  0,Heavyweight,KO/TKO  Punches,1.0,2:42,"UFC 61: Bitter Rivals  July 08, 2006"
win,Cheick Kongo  Gilbert Aldana,0  0,24  6,1  2,0  0,Heavyweight,KO/TKO,1.0,4:13,"UFC 61: Bitter Rivals  July 08, 2006"
win,Drew Fickett  Kurt Pellegrino,0  0,18  25,1  5,2  0,Welterweight,SUB  Rear Naked Choke,3.0,1:20,"UFC 61: Bitter Rivals  July 08, 2006"
win,Jonathan Goulet  Luke Cummo,0  2,18  13,6  0,0  3,Welterweight,M-DEC,3.0,5:00,"UFC Fight Night 5  June 28, 2006"
win,Anderson Silva  Chris Leben,2  0,17  1,0  0,0  0,Middleweight,KO/TKO  Punches,1.0,0:49,"UFC Fight Night 5  June 28, 2006"
win,Rashad Evans  Stephan Bonnar,0  0,17  12,7  0,0  2,Light Heavyweight,M-DEC,3.0,5:00,"UFC Fight Night 5  June 28, 2006"
win,Mark Hominick  Jorge Gurgel,0  0,43  36,0  0,0  0,Lightweight,U-DEC,3.0,5:00,"UFC Fight Night 5  June 28, 2006"
win,Josh Koscheck  Dave Menne,0  0,45  13,4  1,1  5,Welterweight,U-DEC,3.0,5:00,"UFC Fight Night 5  June 28, 2006"
win,Jason Lambert  Branden Lee Hinkle,0  0,44  4,0  3,1  0,Light Heavyweight,KO/TKO  Punches,1.0,5:00,"UFC Fight Night 5  June 28, 2006"
win,Jon Fitch  Thiago Alves,1  0,51  1,3  1,2  3,Welterweight,KO/TKO  Kick,2.0,4:37,"UFC Fight Night 5  June 28, 2006"
win,Rob MacDonald  Kristian Rothaermel,0  0,10  3,4  0,3  0,Light Heavyweight,SUB  Armbar,1.0,4:01,"UFC Fight Night 5  June 28, 2006"
win,Jorge Santiago  Justin Levens,1  0,9  0,1  0,0  0,Middleweight,KO/TKO  Knee,1.0,2:13,"UFC Fight Night 5  June 28, 2006"
win,Kenny Florian  Sam Stout,0  0,5  0,1  0,1  0,Lightweight,SUB  Rear Naked Choke,1.0,1:46,"The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale  June 24, 2006"
win,Michael Bisping  Josh Haynes,2  0,41  8,4  0,4  0,Light Heavyweight,KO/TKO  Punches,2.0,4:14,"The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale  June 24, 2006"
win,Kendall Grove  Ed Herman,0  0,25  33,0  5,6  2,Middleweight,U-DEC,3.0,5:00,"The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale  June 24, 2006"
win,Keith Jardine  Wilson Gouveia,0  0,67  48,1  1,0  0,Light Heavyweight,U-DEC,3.0,5:00,"The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale  June 24, 2006"
win,Rory Singer  Ross Pointon,0  1,2  4,0  0,1  0,Middleweight,SUB  Triangle Choke,1.0,0:44,"The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale  June 24, 2006"
win,Kalib Starnes  Danny Abbadi,0  0,21  3,1  0,1  0,Middleweight,SUB  Rear Naked Choke,1.0,2:56,"The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale  June 24, 2006"
win,Luigi Fioravanti  Solomon Hutcherson,1  0,11  11,1  1,0  0,Middleweight,KO/TKO  Punch,1.0,4:15,"The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale  June 24, 2006"
win,Matt Hamill  Jesse Forbes,0  0,33  9,1  0,0  0,Light Heavyweight,KO/TKO  Elbows,1.0,4:47,"The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale  June 24, 2006"
win,Mike Nickels  Wes Combs,0  0,22  4,3  0,1  0,Light Heavyweight,SUB  Rear Naked Choke,1.0,3:10,"The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale  June 24, 2006"
win,Matt Hughes  Royce Gracie,0  0,32  7,1  0,1  0,Catch Weight,KO/TKO  Punches,1.0,4:39,"UFC 60: Hughes vs Gracie  May 27, 2006"
win,Dean Lister  Alessio Sakara,0  0,1  1,0  0,2  0,Light Heavyweight,SUB  Triangle Choke,1.0,2:20,"UFC 60: Hughes vs Gracie  May 27, 2006"
win,Diego Sanchez  John Alessio,0  0,9  17,1  0,0  1,Welterweight,U-DEC,3.0,5:00,"UFC 60: Hughes vs Gracie  May 27, 2006"
win,Brandon Vera  Assuerio Silva,0  0,8  9,0  1,1  0,Heavyweight,SUB  Guillotine Choke,1.0,2:39,"UFC 60: Hughes vs Gracie  May 27, 2006"
win,Mike Swick  Joe Riggs,0  0,5  1,0  0,1  0,Middleweight,SUB  Guillotine Choke,1.0,2:19,"UFC 60: Hughes vs Gracie  May 27, 2006"
win,Jeremy Horn  Chael Sonnen,0  0,3  6,0  3,4  0,Middleweight,SUB  Armbar,2.0,1:17,"UFC 60: Hughes vs Gracie  May 27, 2006"
win,Spencer Fisher  Matt Wiman,1  0,27  10,0  1,0  4,Lightweight,KO/TKO  Flying Knee,2.0,1:43,"UFC 60: Hughes vs Gracie  May 27, 2006"
win,Gabriel Gonzaga  Fabiano Scherner,1  0,16  8,3  0,0  0,Heavyweight,KO/TKO  Punch,2.0,0:24,"UFC 60: Hughes vs Gracie  May 27, 2006"
win,Melvin Guillard  Rick Davis,1  0,10  5,0  0,0  0,Lightweight,KO/TKO  Punch,1.0,1:37,"UFC 60: Hughes vs Gracie  May 27, 2006"
win,Tim Sylvia  Andrei Arlovski,1  1,13  11,0  0,0  0,Heavyweight,KO/TKO  Punch,1.0,2:43,"UFC 59: Reality Check  April 15, 2006"
win,Sean Sherk  Nick Diaz,0  0,39  57,2  1,0  3,Welterweight,U-DEC,3.0,5:00,"UFC 59: Reality Check  April 15, 2006"
win,Tito Ortiz  Forrest Griffin,0  0,61  58,3  0,0  0,Light Heavyweight,S-DEC,3.0,5:00,"UFC 59: Reality Check  April 15, 2006"
win,Evan Tanner  Justin Levens,0  0,10  2,1  0,2  1,Middleweight,SUB  Triangle Choke,1.0,3:14,"UFC 59: Reality Check  April 15, 2006"
win,Jeff Monson  Marcio Cruz,0  0,32  40,2  0,0  0,Heavyweight,S-DEC,3.0,5:00,"UFC 59: Reality Check  April 15, 2006"
win,Karo Parisyan  Nick Thompson,0  0,18  2,2  1,0  0,Welterweight,KO/TKO  Punches,1.0,4:44,"UFC 59: Reality Check  April 15, 2006"
win,David Terrell  Scott Smith,0  0,10  3,1  0,2  0,Middleweight,SUB  Rear Naked Choke,1.0,3:08,"UFC 59: Reality Check  April 15, 2006"
win,Jason Lambert  Terry Martin,0  0,31  15,0  1,0  0,Light Heavyweight,KO/TKO  Punches,2.0,2:37,"UFC 59: Reality Check  April 15, 2006"
win,Thiago Alves  Derrick Noble,1  0,11  18,0  0,0  0,Welterweight,KO/TKO  Punches,1.0,2:54,"UFC 59: Reality Check  April 15, 2006"
win,Stephan Bonnar  Keith Jardine,1  0,33  64,1  0,1  0,Light Heavyweight,U-DEC,3.0,5:00,"UFC Fight Night 4  April 06, 2006"
win,Rashad Evans  Sam Hoger,0  0,23  18,9  0,0  2,Light Heavyweight,S-DEC,3.0,5:00,"UFC Fight Night 4  April 06, 2006"
win,Josh Neer  Joe Stevenson,1  0,46  31,0  2,0  3,Welterweight,U-DEC,3.0,5:00,"UFC Fight Night 4  April 06, 2006"
win,Chris Leben  Luigi Fioravanti,0  0,36  20,5  0,0  0,Middleweight,U-DEC,3.0,5:00,"UFC Fight Night 4  April 06, 2006"
win,Luke Cummo  Jason Von Flue,0  0,43  17,3  2,3  1,Welterweight,U-DEC,3.0,5:00,"UFC Fight Night 4  April 06, 2006"
win,Jon Fitch  Joshua Burkman,1  0,25  20,3  1,1  1,Welterweight,SUB  Rear Naked Choke,2.0,4:57,"UFC Fight Night 4  April 06, 2006"
win,Dan Christison  Brad Imes,0  0,73  58,0  2,1  0,Heavyweight,SUB  Armbar,3.0,3:37,"UFC Fight Night 4  April 06, 2006"
win,Josh Koscheck  Ansar Chalangov,0  0,2  2,2  0,1  1,Welterweight,SUB  Rear Naked Choke,1.0,3:29,"UFC Fight Night 4  April 06, 2006"
win,Chael Sonnen  Trevor Prangley,0  0,25  7,7  0,0  2,Middleweight,U-DEC,3.0,5:00,"UFC Fight Night 4  April 06, 2006"
win,Rich Franklin  David Loiseau,2  1,127  21,5  1,0  0,Middleweight,U-DEC,5.0,5:00,"UFC 58: USA vs Canada  March 04, 2006"
win,Mike Swick  Steve Vigneault,0  0,13  6,0  0,1  0,Middleweight,SUB  Guillotine Choke,1.0,2:09,"UFC 58: USA vs Canada  March 04, 2006"
win,Georges St-Pierre  BJ Penn,0  0,59  37,4  1,0  1,Welterweight,S-DEC,3.0,5:00,"UFC 58: USA vs Canada  March 04, 2006"
win,Nate Marquardt  Joe Doerksen,0  1,56  26,5  2,2  0,Middleweight,U-DEC,3.0,5:00,"UFC 58: USA vs Canada  March 04, 2006"
win,Mark Hominick  Yves Edwards,0  0,22  20,0  1,1  0,Lightweight,SUB  Triangle Choke,2.0,1:52,"UFC 58: USA vs Canada  March 04, 2006"
win,Sam Stout  Spencer Fisher,0  0,62  53,0  4,0  3,Lightweight,S-DEC,3.0,5:00,"UFC 58: USA vs Canada  March 04, 2006"
win,Jason Lambert  Rob MacDonald,1  0,7  3,1  0,1  0,Light Heavyweight,SUB  Kimura,1.0,1:54,"UFC 58: USA vs Canada  March 04, 2006"
win,Tom Murphy  Icho Larenas,0  0,30  2,6  0,2  0,Heavyweight,KO/TKO  Punches,3.0,1:59,"UFC 58: USA vs Canada  March 04, 2006"
win,Chuck Liddell  Randy Couture,1  0,19  7,0  1,0  0,Light Heavyweight,KO/TKO  Punch,2.0,1:28,"UFC 57: Liddell vs Couture 3  February 04, 2006"
win,Brandon Vera  Justin Eilers,1  0,7  4,0  0,0  0,Heavyweight,KO/TKO  Kick,1.0,1:25,"UFC 57: Liddell vs Couture 3  February 04, 2006"
win,Marcio Cruz  Frank Mir,0  0,31  3,1  1,0  0,Heavyweight,KO/TKO  Punches,1.0,4:10,"UFC 57: Liddell vs Couture 3  February 04, 2006"
win,Renato Sobral  Mike van Arsdale,0  0,9  1,0  0,1  0,Light Heavyweight,SUB  Rear Naked Choke,1.0,2:21,"UFC 57: Liddell vs Couture 3  February 04, 2006"
win,Joe Riggs  Nick Diaz,0  1,51  38,3  0,0  1,Welterweight,U-DEC,3.0,5:00,"UFC 57: Liddell vs Couture 3  February 04, 2006"
win,Alessio Sakara  Elvis Sinosic,0  0,70  13,9  0,0  0,Light Heavyweight,U-DEC,3.0,5:00,"UFC 57: Liddell vs Couture 3  February 04, 2006"
win,Paul Buentello  Gilbert Aldana,0  0,49  28,1  0,1  0,Heavyweight,KO/TKO  Punches,2.0,2:27,"UFC 57: Liddell vs Couture 3  February 04, 2006"
win,Jeff Monson  Branden Lee Hinkle,0  0,10  5,1  0,1  1,Heavyweight,SUB  North-South Choke,1.0,4:35,"UFC 57: Liddell vs Couture 3  February 04, 2006"
win,Keith Jardine  Mike Whitehead,0  0,44  27,0  5,0  0,Light Heavyweight,U-DEC,3.0,5:00,"UFC 57: Liddell vs Couture 3  February 04, 2006"
win,Tim Sylvia  Assuerio Silva,0  0,85  36,0  0,0  0,Heavyweight,U-DEC,3.0,5:00,"UFC Fight Night 3  January 16, 2006"
win,Stephan Bonnar  James Irvin,0  0,2  5,2  0,2  0,Light Heavyweight,SUB  Kimura,1.0,4:30,"UFC Fight Night 3  January 16, 2006"
win,Joshua Burkman  Drew Fickett,0  0,7  2,0  0,1  0,Welterweight,SUB  Guillotine Choke,1.0,1:07,"UFC Fight Night 3  January 16, 2006"
win,Chris Leben  Jorge Rivera,1  0,10  5,1  0,0  0,Middleweight,KO/TKO  Punch,1.0,1:44,"UFC Fight Night 3  January 16, 2006"
win,Josh Neer  Melvin Guillard,0  0,3  11,1  2,2  0,Welterweight,SUB  Triangle Choke,1.0,4:20,"UFC Fight Night 3  January 16, 2006"
win,Duane Ludwig  Jonathan Goulet,1  0,1  0,0  0,0  0,Welterweight,KO/TKO  Punch,1.0,0:06,"UFC Fight Night 3  January 16, 2006"
win,Spencer Fisher  Aaron Riley,0  0,25  9,0  2,0  0,Welterweight,KO/TKO,1.0,5:00,"UFC Fight Night 3  January 16, 2006"
win,Jason Von Flue  Alex Karalexis,0  0,28  18,0  1,2  3,Welterweight,SUB  Von Flue Choke,3.0,1:17,"UFC Fight Night 3  January 16, 2006"
win,Rich Franklin  Nate Quarry,2  0,13  4,0  0,0  0,Middleweight,KO/TKO  Punch,1.0,2:34,"UFC 56: Full Force  November 19, 2005"
win,Gabriel Gonzaga  Kevin Jordan,1  0,23  18,2  0,2  0,Heavyweight,KO/TKO  Punch,3.0,4:39,"UFC 56: Full Force  November 19, 2005"
win,Matt Hughes  Joe Riggs,0  0,8  1,1  0,2  0,Welterweight,SUB  Kimura,1.0,3:28,"UFC 56: Full Force  November 19, 2005"
win,Georges St-Pierre  Sean Sherk,0  0,58  20,3  0,0  0,Welterweight,KO/TKO  Elbows,2.0,2:53,"UFC 56: Full Force  November 19, 2005"
win,Jeremy Horn  Trevor Prangley,0  0,38  38,0  7,1  0,Middleweight,U-DEC,3.0,5:00,"UFC 56: Full Force  November 19, 2005"
win,Sam Hoger  Jeff Newton,0  0,10  2,3  0,2  4,Light Heavyweight,SUB  Rear Naked Choke,2.0,2:05,"UFC 56: Full Force  November 19, 2005"
win,Thiago Alves  Ansar Chalangov,0  0,8  2,1  0,0  2,Welterweight,KO/TKO  Punches,1.0,2:25,"UFC 56: Full Force  November 19, 2005"
win,Nick Thompson  Keith Wisniewski,0  0,48  14,1  3,3  0,Welterweight,U-DEC,3.0,5:00,"UFC 56: Full Force  November 19, 2005"
win,Diego Sanchez  Nick Diaz,0  0,41  13,5  2,1  1,Welterweight,U-DEC,3.0,5:00,"The Ultimate Fighter: Team Hughes vs. Team Franklin Finale  November 05, 2005"
win,Rashad Evans  Brad Imes,2  0,48  42,0  2,0  1,Heavyweight,S-DEC,3.0,5:00,"The Ultimate Fighter: Team Hughes vs. Team Franklin Finale  November 05, 2005"
win,Joe Stevenson  Luke Cummo,0  0,20  20,5  1,2  1,Welterweight,U-DEC,3.0,5:00,"The Ultimate Fighter: Team Hughes vs. Team Franklin Finale  November 05, 2005"
win,Kenny Florian  Kit Cope,0  0,10  8,3  0,2  0,Welterweight,SUB  Rear Naked Choke,2.0,0:37,"The Ultimate Fighter: Team Hughes vs. Team Franklin Finale  November 05, 2005"
win,Joshua Burkman  Sammy Morgan,0  0,4  1,1  0,0  0,Welterweight,KO/TKO  Slam,1.0,0:21,"The Ultimate Fighter: Team Hughes vs. Team Franklin Finale  November 05, 2005"
win,Melvin Guillard  Marcus Davis,0  0,19  3,3  0,1  0,Welterweight,KO/TKO,2.0,2:55,"The Ultimate Fighter: Team Hughes vs. Team Franklin Finale  November 05, 2005"
win,Keith Jardine  Kerry Schall,1  0,41  8,0  0,0  0,Heavyweight,KO/TKO  Kicks,2.0,3:28,"The Ultimate Fighter: Team Hughes vs. Team Franklin Finale  November 05, 2005"
win,Andrei Arlovski  Paul Buentello,1  0,2  1,0  0,0  0,Heavyweight,KO/TKO  Punch,1.0,0:15,"UFC 55: Fury  October 07, 2005"
win,Branden Lee Hinkle  Sean Gannon,0  0,27  0,1  0,3  0,Heavyweight,KO/TKO  Punches,1.0,4:14,"UFC 55: Fury  October 07, 2005"
win,Forrest Griffin  Elvis Sinosic,1  0,30  18,0  0,0  0,Light Heavyweight,KO/TKO  Punches,1.0,3:30,"UFC 55: Fury  October 07, 2005"
win,Renato Sobral  Chael Sonnen,0  0,11  12,4  0,3  0,Light Heavyweight,SUB  Triangle Choke,2.0,1:20,"UFC 55: Fury  October 07, 2005"
win,Joe Riggs  Chris Lytle,0  0,15  3,1  1,1  0,Welterweight,KO/TKO,2.0,2:00,"UFC 55: Fury  October 07, 2005"
win,Jorge Rivera  Dennis Hallman,0  0,51  12,0  1,0  2,Middleweight,U-DEC,3.0,5:00,"UFC 55: Fury  October 07, 2005"
win,Marcio Cruz  Keigo Kunihara,0  0,12  1,0  2,1  1,Heavyweight,SUB  Rear Naked Choke,2.0,1:02,"UFC 55: Fury  October 07, 2005"
nc  nc,Alessio Sakara  Ron Faircloth,1  0,46  2,0  0,0  0,Light Heavyweight,CNC,2.0,0:10,"UFC 55: Fury  October 07, 2005"
win,David Loiseau  Evan Tanner,0  0,13  15,0  3,0  2,Middleweight,KO/TKO,2.0,4:15,"UFC Fight Night 2  October 03, 2005"
win,Chris Leben  Edwin DeWees,0  0,5  5,0  1,1  2,Middleweight,SUB  Armbar,1.0,3:26,"UFC Fight Night 2  October 03, 2005"
win,Brandon Vera  Fabiano Scherner,2  0,28  10,0  1,0  0,Heavyweight,KO/TKO  Knee,2.0,3:22,"UFC Fight Night 2  October 03, 2005"
win,Drew Fickett  Josh Koscheck,1  0,5  8,0  6,3  0,Welterweight,SUB  Rear Naked Choke,3.0,4:28,"UFC Fight Night 2  October 03, 2005"
win,Spencer Fisher  Thiago Alves,0  0,13  19,1  3,3  0,Welterweight,SUB  Triangle Choke,2.0,4:43,"UFC Fight Night 2  October 03, 2005"
win,Jon Fitch  Brock Larson,0  0,25  14,5  1,2  3,Middleweight,U-DEC,3.0,5:00,"UFC Fight Night 2  October 03, 2005"
win,Jonathan Goulet  Jay Hieron,0  0,14  10,0  9,1  3,Welterweight,KO/TKO,3.0,1:05,"UFC Fight Night 2  October 03, 2005"
win,Chuck Liddell  Jeremy Horn,2  0,64  31,0  0,0  0,Light Heavyweight,KO/TKO  Punches,4.0,2:46,"UFC 54: Boiling Point  August 20, 2005"
win,Tim Sylvia  Tra Telligman,1  0,31  13,0  0,0  0,Heavyweight,KO/TKO  Kick,1.0,4:59,"UFC 54: Boiling Point  August 20, 2005"
win,Randy Couture  Mike van Arsdale,0  0,27  8,4  1,3  0,Light Heavyweight,SUB  Anaconda Choke,3.0,0:52,"UFC 54: Boiling Point  August 20, 2005"
win,Diego Sanchez  Brian Gassaway,0  0,35  3,3  0,1  0,Welterweight,KO/TKO  Punches,2.0,1:56,"UFC 54: Boiling Point  August 20, 2005"
win,Georges St-Pierre  Frank Trigg,0  0,25  1,1  0,2  0,Welterweight,SUB  Rear Naked Choke,1.0,4:09,"UFC 54: Boiling Point  August 20, 2005"
win,Matt Lindland  Joe Doerksen,0  0,19  8,4  2,4  1,Middleweight,U-DEC,3.0,5:00,"UFC 54: Boiling Point  August 20, 2005"
win,Trevor Prangley  Travis Lutter,0  0,54  9,5  0,0  0,Middleweight,U-DEC,3.0,5:00,"UFC 54: Boiling Point  August 20, 2005"
win,James Irvin  Terry Martin,1  0,6  12,0  2,0  0,Light Heavyweight,KO/TKO  Flying Knee,2.0,0:09,"UFC 54: Boiling Point  August 20, 2005"
win,Nate Marquardt  Ivan Salaverry,0  0,21  23,2  0,2  0,Middleweight,U-DEC,3.0,5:00,"UFC Fight Night 1  August 06, 2005"
win,Chris Leben  Patrick Cote,0  0,26  26,1  1,0  0,Middleweight,S-DEC,3.0,5:00,"UFC Fight Night 1  August 06, 2005"
win,Stephan Bonnar  Sam Hoger,0  0,43  11,3  1,1  2,Light Heavyweight,U-DEC,3.0,5:00,"UFC Fight Night 1  August 06, 2005"
win,Nate Quarry  Pete Sell,1  0,3  2,0  0,0  0,Middleweight,KO/TKO  Punches,1.0,0:42,"UFC Fight Night 1  August 06, 2005"
win,Josh Koscheck  Pete Spratt,0  0,0  0,1  0,1  0,Welterweight,SUB  Rear Naked Choke,1.0,1:53,"UFC Fight Night 1  August 06, 2005"
win,Mike Swick  Gideon Ray,1  0,7  1,0  0,0  0,Middleweight,KO/TKO  Punches,1.0,0:22,"UFC Fight Night 1  August 06, 2005"
